t,nodes,edges,avg_path,diameter
1,19022,276860,3.710555035859058,9
2,17552,142257,4.563592891123765,12
3,15175,80482,4.918468892023194,11
4,13647,66330,5.079933397787088,14
5,12776,55102,5.382565331367248,13
6,14057,141915,5.157656807216279,13
7,13034,62926,5.817813387595914,12
8,13506,82158,5.8770066492519595,14
9,12001,51806,5.986073785098492,14
10,10792,47913,6.001531073446328,16
